obs_ID,study_ID,year_pub,C_mean,T_mean,C_sd,T_sd,C_n,T_n
obs043,"Christian and Wilson, 1999",1999,10.22,5.74,4.47,5.72,5,5
obs044,Cole et al. 2005,2005,30.3,32.7,4.52,4.67,5,5
obs045,Collier et al. 2002,2002,9.6,4.5,1.16,0.39,15,15
obs046,"Collinge, 2000",2000,13.58,9.28,5.85,5.39,6,6
obs047,Cunha et al. 2011,2011,3.71,3.37,1.8,2.18,12,12
obs048,"Cushman and Gaffney, 2010",2010,6.62,5.05,1.59,0.85,15,15
obs049,"Cushman and Gaffney, 2010",2010,10.14,1.98,0.62,0.72,2,2
obs050,"Cushman and Gaffney, 2010",2010,10.14,0.62,0.62,0.25,2,2
obs051,D'Cruze and Kumar 2011,2011,1.52,1.6,2.06,1.58,3,3
obs052,D'Cruze and Kumar 2011,2011,1.52,0.56,2.06,1,3,3
obs053,Daily et al. 2003,2003,7.74,3.36,2.06,12.1,2,24
obs054,Danielsen and Heegard 1995,1995,34,17.75,3.5,1.78,4,4
obs055,Danielsen and Heegard 1995,1995,34,36.2,3.5,4.5,4,4
obs056,"Davalos and Blossey, 2004",2004,2.42,3.46,0.66,0.66,89,89
obs057,"Davies and Margules, 1998",1998,22.25,24.67,8.17,9.62,2,4
obs058,"Davies and Svejcar, 2008",2008,21,12,4.36,3.05,19,19
obs059,Davis and Phillips 2005,2005,9.7,7.65,5.7,4.2,4,4
obs060,Davis and Phillips 2005,2005,9.7,10.75,5.7,5.1,4,4
obs061,Davis et al. 2001,2001,39.4,24,3.85,9.54,5,3
obs062,Davis et al. 2001,2001,39.4,44.75,3.85,6.6,5,4
obs063,Davis et al. 2012,2012,45,37.08,11.34,11.83,6,6
obs064,de Groot et al. 2007,2007,3.77,3.07,1.35,1.16,3,3
obs065,de Groot et al. 2007,2007,11.36,4.72,7.12,2.51,3,3
obs066,Dean et al. 2002,2002,22.17,10.67,7.08,3.01,6,6
obs067,"Douglas and O'Connor, 2003",2003,21.04,22.87,2.54,1.92,4,4
obs068,Drouin et al. 2011,2011,13.82,13.93,1.81,2.33,5,5
obs069,Drouin et al. 2011,2011,3.89,4.36,0.87,0.83,5,5
obs070,Dumbrell et al. 2001,2001,14.64,13.44,3.6,3.4,25,25
obs071,Edwards et al. 2004,2004,19.7,15.7,16.12,11.31,8,8
obs072,Elek and Lovei 2005,2005,2.83,2.19,0.58,0.76,4,4
obs073,Escolar et al. 2012,2012,5.075,3.585,1.26,1.36,10,10
obs074,"Estrada and Coates-Estrada, 1997",1997,4.9,2.76,20.51,5.12,50,40
obs075,"Estrada and Coates-Estrada, 2002a",2002,12.1,10.6,5.5,4,50,50
obs076,"Estrada and Coates-Estrada, 2002a",2002,12.1,8.5,5.5,4.4,50,50
obs077,"Estrada and Coates-Estrada, 2002b",2002,10.2,14,4.8,4,16,16
obs078,"Estrada and Coates-Estrada, 2002b",2002,10.2,10,4.8,3.2,16,16
obs079,"Estrada and Coates-Estrada, 2005",2005,1.3,1.04,2.29,2.42,21,57
obs080,Estrada et al. 1994,1994,10.8,4.5,6.8,1.05,35,35
obs081,Estrada et al. 1998,1998,9.4,8.31,4.45,8.82,55,24
obs082,Fang et al. 2012,2012,13.64,8.8,1.73,2.15,8,8
obs083,Feer and Hingrat 2005,2005,31.3,22.14,3.05,7.3,3,7
obs084,Feer and Hingrat 2005,2005,16,5.86,0,3.76,3,7
obs085,"Fink and Wilson, 2011",2011,3.2,4.3,1.33,1.64,10,10
obs086,Fischer et al. 2009,2009,8.32,10.73,2.75,3.31,7,7
obs087,"Flory and Clay, 2010",2010,15.03,8.64,3.52,2.92,16,16
